id,year,year_treated,time_to_treatment,treated,y
E06000035,2014,1000,-1000,0,31
E06000035,2015,1000,-1000,0,31.9
E06000035,2016,1000,-1000,0,32.7
E06000035,2017,1000,-1000,0,34.1
E06000035,2018,1000,-1000,0,36
E06000035,2019,1000,-1000,0,37.5
E06000035,2020,1000,-1000,0,38.1
E06000035,2021,1000,-1000,0,37.9
E06000035,2022,1000,-1000,0,37.6
E06000036,2004,1000,-1000,0,32.1
E06000036,2005,1000,-1000,0,32
E06000036,2006,1000,-1000,0,32.9
E06000036,2007,1000,-1000,0,34.5
E06000036,2008,1000,-1000,0,36.7
E06000036,2009,1000,-1000,0,39.1
E06000036,2010,1000,-1000,0,40.7
E06000036,2011,1000,-1000,0,42
E06000036,2012,1000,-1000,0,42.9
E06000036,2013,1000,-1000,0,43.8
E06000036,2014,1000,-1000,0,44.1
E06000036,2015,1000,-1000,0,44.6
E06000036,2016,1000,-1000,0,44.9
E06000036,2017,1000,-1000,0,46
E06000036,2018,1000,-1000,0,47.2
E06000036,2019,1000,-1000,0,48.5
E06000036,2020,1000,-1000,0,50.1
E06000036,2021,1000,-1000,0,51.5
E06000036,2022,1000,-1000,0,52.7
E06000037,2004,1000,-1000,0,34.2
E06000037,2005,1000,-1000,0,34
E06000037,2006,1000,-1000,0,35.6
E06000037,2007,1000,-1000,0,36.4
E06000037,2008,1000,-1000,0,36.6
E06000037,2009,1000,-1000,0,36.4
E06000037,2010,1000,-1000,0,36.3
E06000037,2011,1000,-1000,0,37
E06000037,2012,1000,-1000,0,38
E06000037,2013,1000,-1000,0,39.3
E06000037,2014,1000,-1000,0,39.9
E06000037,2015,1000,-1000,0,40.4
E06000037,2016,1000,-1000,0,40.5
E06000037,2017,1000,-1000,0,41.2
E06000037,2018,1000,-1000,0,43.7
E06000037,2019,1000,-1000,0,47.7
E06000037,2020,1000,-1000,0,51.7
E06000037,2021,1000,-1000,0,53.7
E06000037,2022,1000,-1000,0,54.1
E06000038,2004,1000,-1000,0,29.2
E06000038,2005,1000,-1000,0,28.9
E06000038,2006,1000,-1000,0,31
E06000038,2007,1000,-1000,0,32.7
E06000038,2008,1000,-1000,0,34.6
E06000038,2009,1000,-1000,0,36.6
E06000038,2010,1000,-1000,0,37.7
E06000038,2011,1000,-1000,0,38.2
E06000038,2012,1000,-1000,0,38.7
E06000038,2013,1000,-1000,0,39.4
E06000038,2014,1000,-1000,0,40.1
E06000038,2015,1000,-1000,0,40.4
E06000038,2016,1000,-1000,0,41.1
